# GOES17_ABI RSR
# QV 2025-06-04 from ABI-16-045_FM2_Spectral_Response_Curves.xlsx
# filtered to response > 0.002
# TIR bands
# GOES17_ABI Band CH390
# -------------------
3.826433 0.958985
3.826579 0.959909
3.826726 0.960856
3.826872 0.961841
3.827019 0.962816
3.827165 0.96377
3.827312 0.964715
3.827458 0.965646
3.827605 0.96656
3.827751 0.967457
3.827898 0.968332
3.828044 0.969174
3.828191 0.969994
3.828337 0.970799
3.828484 0.971589
3.82863 0.972365
3.828777 0.973127
3.828924 0.973876
3.82907 0.974613
3.829217 0.975342
3.829364 0.976057
3.82951 0.976752
3.829657 0.977421
3.829804 0.978056
3.82995 0.978627
3.830097 0.979083
3.830244 0.979486
3.83039 0.979857
3.830537 0.980207
3.830684 0.980545
3.830831 0.980882
3.830977 0.981226
3.831124 0.98156
3.831271 0.981887
3.831418 0.982211
3.831564 0.982532
3.831711 0.982852
3.831858 0.983175
3.832005 0.983501
3.832152 0.983832
3.832299 0.984165
3.832445 0.984497
3.832592 0.984827
3.832739 0.985155
3.832886 0.98548
3.833033 0.985797
3.83318 0.986106
3.833327 0.986347
3.833474 0.986574
3.833621 0.98678
3.833768 0.986956
3.833915 0.987096
3.834062 0.987196
3.834209 0.987273
3.834356 0.987286
3.834503 0.98727
3.83465 0.987241
3.834797 0.987201
3.834944 0.987155
3.835091 0.987094
3.835238 0.986995
3.835385 0.986886
3.835532 0.986775
3.835679 0.986652
3.835827 0.986538
3.835974 0.986453
3.836121 0.986402
3.836268 0.986361
3.836415 0.986345
3.836562 0.986342
3.83671 0.986341
3.836857 0.986339
3.837004 0.986337
3.837151 0.986315
3.837299 0.98627
3.837446 0.986215
3.837593 0.986164
3.83774 0.986124
3.837888 0.986086
3.838035 0.986041
3.838182 0.985984
3.83833 0.985918
3.838477 0.985847
3.838624 0.985769
3.838772 0.985683
3.838919 0.985589
3.839066 0.985484
3.839214 0.985361
3.839361 0.985222
3.839509 0.985071
3.839656 0.984908
3.839803 0.98473
3.839951 0.984549
3.840098 0.984357
3.840246 0.9841530000000001
3.840393 0.983942
3.840541 0.983728
3.840688 0.983516
3.840836 0.983309
3.840983 0.983112
3.841131 0.982918
3.841278 0.982719
3.841426 0.982518
3.841574 0.982316
3.841721 0.982114
3.841869 0.981911
3.842016 0.981708
3.842164 0.981502
3.842312 0.981294
3.842459 0.981085
3.842607 0.980879
3.842754 0.98068
3.842902 0.980491
3.84305 0.980329
3.843198 0.9802
3.843345 0.980084
3.843493 0.979978
3.843641 0.979881
3.843788 0.979791
3.843936 0.979705
3.844084 0.979628
3.844232 0.979568
3.84438 0.979566
3.844527 0.97957
3.844675 0.979575
3.844823 0.979582
3.844971 0.979591
3.845119 0.979619
3.845266 0.979696
3.845414 0.97981
3.845562 0.97995
3.84571 0.980104
3.845858 0.98026
3.846006 0.980407
3.846154 0.980564
3.846302 0.980743
3.84645 0.980928
3.846598 0.9811
3.846746 0.981239
3.846894 0.981336
3.847042 0.981396
3.84719 0.981439
3.847338 0.981475
3.847486 0.981497
3.847634 0.981497
3.847782 0.981451
3.84793 0.981371
3.848078 0.981277
3.848226 0.981138
3.848374 0.980959
3.848522 0.980747
3.84867 0.980513
3.848818 0.980266
3.848967 0.980015
3.849115 0.97975
3.849263 0.979445
3.849411 0.979128
3.849559 0.978803
3.849707 0.978462
3.849856 0.97811
3.850004 0.977738
3.850152 0.977341
3.8503 0.976924
3.850449 0.976493
3.850597 0.976056
3.850745 0.975619
3.850893 0.975187
3.851042 0.974763
3.85119 0.97434
3.851338 0.973915
3.851487 0.973492
3.851635 0.973075
3.851783 0.972667
3.851932 0.972271
3.85208 0.971891
3.852229 0.971527
3.852377 0.971174
3.852525 0.970831
3.852674 0.970501
3.852822 0.970185
3.852971 0.969888
3.853119 0.969621
3.853268 0.969369
3.853416 0.969128
3.853565 0.968896
3.853713 0.968672
3.853862 0.968453
3.85401 0.968238
3.854159 0.968033
3.854307 0.967834
3.854456 0.967638
3.854604 0.967445
3.854753 0.967252
3.854902 0.967058
3.85505 0.966859
3.855199 0.966658
3.855347 0.966453
3.855496 0.966246
3.855645 0.966037
3.855793 0.965823
3.855942 0.965603
3.856091 0.965363
3.856239 0.965112
3.856388 0.964853
3.856537 0.964586
3.856686 0.964311
3.856834 0.964028
3.856983 0.963737
3.857132 0.963432
3.857281 0.963107
3.857429 0.962777
3.857578 0.962455
3.857727 0.962137
3.857876 0.961822
3.858025 0.961519
3.858174 0.961231
3.858322 0.960956
3.858471 0.960684
3.85862 0.960418
3.858769 0.960159
3.858918 0.959912
3.859067 0.959669
3.859216 0.959478
3.859365 0.959383
3.859514 0.959303
3.859663 0.95924
3.859812 0.959198
3.859961 0.959179
3.86011 0.959202
3.860259 0.959302
3.860408 0.959463
3.860557 0.959668
3.860706 0.959899
3.860855 0.960137
3.861004 0.960372
3.861153 0.96068
3.861302 0.961027
3.861451 0.961396
3.8616 0.961775
3.861749 0.962151
3.861899 0.962514
3.862048 0.962851
3.862197 0.963177
3.862346 0.963487
3.862495 0.96377
3.862644 0.964017
3.862794 0.964241
3.862943 0.964464
3.863092 0.964701
3.863241 0.964943
3.863391 0.965187
3.86354 0.965434
3.863689 0.965686
3.863838 0.965942
3.863988 0.966203
3.864137 0.966487
3.864286 0.966782
3.864436 0.967086
3.864585 0.967396
3.864734 0.967712
3.864884 0.968034
3.865033 0.968359
3.865182 0.968684
3.865332 0.969011
3.865481 0.969345
3.865631 0.969691
3.86578 0.970052
3.86593 0.970437
3.866079 0.97088
3.866228 0.97138
3.866378 0.971916
3.866527 0.972474
3.866677 0.973035
3.866826 0.973583
3.866976 0.974112
3.867126 0.974622
3.867275 0.975125
3.867425 0.975615
3.867574 0.976088
3.867724 0.97654
3.867873 0.976973
3.868023 0.977374
3.868173 0.977768
3.868322 0.978163
3.868472 0.978545
3.868622 0.978902
3.868771 0.979223
3.868921 0.979494
3.869071 0.979703
3.86922 0.979782
3.86937 0.979831
3.86952 0.979866
3.86967 0.979897
3.869819 0.979935
3.869969 0.97997
3.870119 0.979962
3.870269 0.979925
3.870418 0.979868
3.870568 0.979797
3.870718 0.979721
3.870868 0.979647
3.871018 0.979581
3.871168 0.979512
3.871317 0.979432
3.871467 0.979348
3.871617 0.979269
3.871767 0.979201
3.871917 0.979152
3.872067 0.979127
3.872217 0.979109
3.872367 0.9791
3.872517 0.979129
3.872667 0.979201
3.872817 0.979282
3.872967 0.979385
3.873117 0.979518
3.873267 0.979688
3.873417 0.979889
3.873567 0.980114
3.873717 0.980357
3.873867 0.980611
3.874017 0.980872
3.874167 0.981169
3.874317 0.981492
3.874467 0.981807
