# GOES18_ABI RSR
# QV 2025-06-04 from ABI-16-046_FM3_Spectral_Response_Curves.xlsx
# filtered to response > 0.002
# VSWIR bands
# GOES18_ABI Band CH047
# -------------------
0.455166 0.738791
0.455187 0.740637
0.455208 0.742488
0.455228 0.744344
0.455249 0.7462
0.45527 0.748055
0.45529 0.749907
0.455311 0.751752
0.455332 0.753589
0.455353 0.755416
0.455373 0.757229
0.455394 0.759027
0.455415 0.760808
0.455436 0.762568
0.455456 0.764305
0.455477 0.766018
0.455498 0.767703
0.455519 0.769358
0.455539 0.770982
0.45556 0.772571
0.455581 0.774123
0.455602 0.775635
0.455622 0.777106
0.455643 0.778533
0.455664 0.779914
0.455685 0.781246
0.455705 0.782526
0.455726 0.783753
0.455747 0.784924
0.455768 0.786036
0.455789 0.787088
0.455809 0.788076
0.45583 0.788999
0.455851 0.789854
0.455872 0.790638
0.455892 0.791349
0.455913 0.791977
0.455934 0.792506
0.455955 0.792969
0.455976 0.7934
0.455996 0.793837
0.456017 0.794298
0.456038 0.794771
0.456059 0.795255
0.45608 0.795746
0.4561 0.796246
0.456121 0.796753
0.456142 0.797265
0.456163 0.797781
0.456184 0.798302
0.456204 0.798824
0.456225 0.799348
0.456246 0.799872
0.456267 0.800396
0.456288 0.800917
0.456308 0.801435
0.456329 0.80195
0.45635 0.802459
0.456371 0.802962
0.456392 0.803457
0.456413 0.803945
0.456433 0.804422
0.456454 0.804889
0.456475 0.805345
0.456496 0.805787
0.456517 0.806216
0.456538 0.80663
0.456558 0.807028
0.456579 0.807409
0.4566 0.807771
0.456621 0.808115
0.456642 0.808438
0.456663 0.808739
0.456684 0.809018
0.456704 0.809273
0.456725 0.809504
0.456746 0.809708
0.456767 0.809886
0.456788 0.810035
0.456809 0.810159
0.45683 0.810276
0.45685 0.81039
0.456871 0.810499
0.456892 0.810599
0.456913 0.810687
0.456934 0.810762
0.456955 0.810819
0.456976 0.810858
0.456997 0.810874
0.457018 0.810857
0.457038 0.810793
0.457059 0.810684
0.45708 0.810531
0.457101 0.810338
0.457122 0.810106
0.457143 0.809837
0.457164 0.809534
0.457185 0.809198
0.457206 0.808832
0.457226 0.808438
0.457247 0.808018
0.457268 0.807575
0.457289 0.80711
0.45731 0.806626
0.457331 0.806124
0.457352 0.805607
0.457373 0.805078
0.457394 0.804538
0.457415 0.803989
0.457436 0.803434
0.457457 0.802875
0.457477 0.802314
0.457498 0.801753
0.457519 0.801195
0.45754 0.800641
0.457561 0.800094
0.457582 0.799556
0.457603 0.799029
0.457624 0.798515
0.457645 0.798017
0.457666 0.797536
0.457687 0.797076
0.457708 0.796634
0.457729 0.796184
0.45775 0.79572
0.457771 0.795246
0.457792 0.794765
0.457813 0.794281
0.457834 0.793797
0.457854 0.793317
0.457875 0.792845
0.457896 0.792384
0.457917 0.791938
0.457938 0.79151
0.457959 0.791103
0.45798 0.790722
0.458001 0.79037
0.458022 0.790027
0.458043 0.789679
0.458064 0.789326
0.458085 0.788971
0.458106 0.788613
0.458127 0.788255
0.458148 0.787898
0.458169 0.787543
0.45819 0.787192
0.458211 0.786846
0.458232 0.786506
0.458253 0.786173
0.458274 0.78585
0.458295 0.785536
0.458316 0.785234
0.458337 0.784945
0.458358 0.78467
0.458379 0.784411
0.4584 0.784169
0.458421 0.783945
0.458442 0.78374
0.458463 0.783556
0.458484 0.783395
0.458505 0.783257
0.458526 0.783143
0.458547 0.783057
0.458568 0.782997
0.458589 0.782967
0.45861 0.78297
0.458631 0.783027
0.458652 0.783136
0.458674 0.783292
0.458695 0.783493
0.458716 0.783732
0.458737 0.784006
0.458758 0.78431
0.458779 0.78464
0.4588 0.784991
0.458821 0.785358
0.458842 0.785738
0.458863 0.786125
0.458884 0.786515
0.458905 0.786904
0.458926 0.787287
0.458947 0.78766
0.458968 0.788018
0.458989 0.788357
0.45901 0.788674
0.459031 0.788983
0.459053 0.789289
0.459074 0.789592
0.459095 0.789892
0.459116 0.790191
0.459137 0.790491
0.459158 0.790791
0.459179 0.791093
0.4592 0.791398
0.459221 0.791707
0.459242 0.792021
0.459263 0.792341
0.459284 0.792668
0.459306 0.793003
0.459327 0.793347
0.459348 0.793701
0.459369 0.794066
0.45939 0.794443
0.459411 0.794833
0.459432 0.795237
0.459453 0.795656
0.459474 0.796091
0.459495 0.796544
0.459517 0.79702
0.459538 0.797532
0.459559 0.798079
0.45958 0.798659
0.459601 0.799269
0.459622 0.799907
0.459643 0.800571
0.459664 0.80126
0.459686 0.80197
0.459707 0.8027
0.459728 0.803448
0.459749 0.804212
0.45977 0.804989
0.459791 0.805777
0.459812 0.806575
0.459834 0.80738
0.459855 0.80819
0.459876 0.809003
0.459897 0.809817
0.459918 0.810629
0.459939 0.811438
0.45996 0.812242
0.459982 0.813037
0.460003 0.813824
0.460024 0.814623
0.460045 0.815446
0.460066 0.81629
0.460087 0.817153
0.460109 0.818029
0.46013 0.818917
0.460151 0.819812
0.460172 0.82071
0.460193 0.82161
0.460214 0.822507
0.460236 0.823397
0.460257 0.824278
0.460278 0.825146
0.460299 0.825997
0.46032 0.826828
0.460342 0.827636
0.460363 0.828417
0.460384 0.829168
0.460405 0.829885
0.460426 0.830583
0.460448 0.831268
0.460469 0.83194
0.46049 0.8326
0.460511 0.83325
