# QV 2022-09-29 from Airbus DS technical support Excel file
# SpectralValues_Normalized-PHR1A_PHR1B_SPOT6_SPOT7_PNEO3-4.xlsx
#
#  Pléiades Neo PNEO4 Band 1 BlueCoastal
#
#  Wavelength
#   (microns)	Relative response
#  __________	___________
0.729	0.000242888
0.73	0.000288571
0.731	0.000313263
0.732	0.000308069
0.733	0.000285508
0.734	0.000254734
0.735	0.000221155
0.736	0.000192269
0.737	0.000172151
0.738	0.000162216
0.739	0.000164955
0.74	0.000178253
0.741	0.000200902
0.742	0.000227829
0.743	0.000256858
0.744	0.000283286
0.745	0.000307441
0.746	0.000329937
0.747	0.000352467
0.748	0.000388478
0.749	0.000423041
0.75	0.000432201
0.751	0.000399499
0.752	0.000341789
0.753	0.000276975
0.754	0.000216603
0.755	0.000164004
0.756	0.000124691
0.757	9.90141E-05
0.758	8.19074E-05
0.759	7.1038E-05
0.76	6.56043E-05
0.761	6.25601E-05
0.762	6.1146E-05
0.763	6.05493E-05
0.764	5.62779E-05
0.765	5.27943E-05
0.766	5.09374E-05
0.767	4.95639E-05
0.768	4.69308E-05
0.769	4.44706E-05
0.77	4.45177E-05
0.771	4.24083E-05
0.772	3.94845E-05
0.773	3.56559E-05
0.774	3.56235E-05
0.775	3.42982E-05
0.776	3.35636E-05
0.777	3.27906E-05
0.778	3.16186E-05
0.779	3.27664E-05
0.78	3.51348E-05
0.781	3.56079E-05
0.782	3.69985E-05
0.783	3.8539E-05
0.784	4.0575E-05
0.785	3.95472E-05
0.786	3.70646E-05
0.787	3.60493E-05
0.788	3.67804E-05
0.789	3.72474E-05
0.79	3.41704E-05
0.791	3.31158E-05
0.792	3.70016E-05
0.793	6.21814E-05
0.794	0.000108416
0.795	0.000174678
0.796	0.000247782
0.797	0.000321161
0.798	0.00036696
0.799	0.000419392
0.8	0.000475518
0.801	0.000510575
0.802	0.000531056
0.803	0.000540018
0.804	0.000526592
0.805	0.000530161
0.806	0.000522333
0.807	0.00052117
0.808	0.000517971
0.809	0.000507151
0.81	0.000502455
0.811	0.000509384
0.812	0.000506121
0.813	0.00049721
0.814	0.000477545
0.815	0.000458581
0.816	0.000457238
0.817	0.000459677
0.818	0.00046111
0.819	0.000457341
0.82	0.000442943
0.821	0.00041484
0.822	0.000390305
0.823	0.000392197
0.824	0.000403249
0.825	0.000394412
0.826	0.000371558
0.827	0.000369336
0.828	0.000357283
0.829	0.000348933
0.83	0.000336884
0.831	0.0003249
0.832	0.000308834
0.833	0.000285553
0.834	0.00027939
0.835	0.000275161
0.836	0.000261804
0.837	0.000239343
0.838	0.000223884
0.839	0.000213627
0.84	0.000211734
0.841	0.000201928
0.842	0.000183951
0.843	0.000167875
0.844	0.000150142
0.845	0.000136804
0.846	0.000129167
0.847	0.000126601
0.848	0.000120768
0.849	0.000107251
0.85	9.70307E-05
0.851	9.07822E-05
0.852	8.12784E-05
0.853	7.6728E-05
0.854	6.5387E-05
0.855	5.62815E-05
0.856	5.40834E-05
0.857	5.42093E-05
0.858	5.026E-05
0.859	4.39309E-05
0.86	4.10583E-05
0.861	3.87969E-05
0.862	3.95429E-05
0.863	4.29651E-05
0.864	4.09326E-05
0.865	3.5857E-05
0.866	4.14002E-05
0.867	4.9281E-05
0.868	5.14181E-05
0.869	5.46244E-05
0.87	6.1065E-05
0.871	6.65004E-05
0.872	7.23235E-05
0.873	7.86408E-05
0.874	8.44942E-05
0.875	9.34875E-05
0.876	0.000102362
0.877	0.000111054
0.878	0.00012168
0.879	0.000128282
0.88	0.000132485
