#
#  GF1/WFV4 RSR
#
#  from Rugang Tang Excel files
#
#  Tabulated QV 2019-03-05
#
# Wavelength (nm)	RSR
#
# BAND 1 Blue
533	0.96251
534	0.96329
535	0.96354
536	0.96265
537	0.96066
538	0.95766
539	0.95441
540	0.94975
541	0.9458
542	0.93991
543	0.93639
544	0.93095
545	0.9287
546	0.9289
547	0.92786
548	0.92957
549	0.93688
550	0.93995
551	0.94992
552	0.95759
553	0.96706
554	0.9759
555	0.98627
556	0.99013
557	0.99641
558	0.99792
559	0.9999
560	1
561	0.99422
562	0.9914
563	0.98428
564	0.98075
565	0.97612
566	0.97014
567	0.96594
568	0.96445
569	0.95977
570	0.95938
571	0.9579
572	0.95915
573	0.95994
574	0.96094
575	0.96104
576	0.9616
577	0.96352
578	0.96255
579	0.9607
580	0.95858
581	0.95561
582	0.9501
583	0.94279
584	0.9378
585	0.92973
586	0.92827
587	0.92251
588	0.92135
589	0.92171
590	0.92602
591	0.93008
592	0.93329
593	0.93013
594	0.90929
595	0.87748
596	0.80075
597	0.72255
598	0.59433
599	0.49916
600	0.37411
601	0.29825
602	0.21343
603	0.16802
604	0.11979
605	0.094908
606	0.06926
607	0.055786
608	0.041636
609	0.034244
610	0.026194
611	0.02189
612	0.017029
613	0.01431
614	0.011313
615	0.0096063
616	0.0075563
617	0.0063964
618	0.0050133
619	0.0042543
620	0.0032826
621	0.0027752
622	0.0021079
623	0.0017505
624	0.0013385
625	0.0011476
626	0.00090412
627	0.00076983
628	0.00064429
629	0.00056928
630	0.00050107
631	0.00045392
632	0.00041262
633	0.00036568
634	0.00034378
635	0.00036283
636	0.00032988
637	0.00033311
638	0.00030429
639	0.0002993
640	0.00029165
641	0.00029875
642	0.00027902
643	0.00026848
644	0.00026619
645	0.0002638
646	0.00028155
647	0.00026027
648	0.00026195
649	0.00025252
650	0.00025409
651	0.00023537
652	0.00022738
653	0.00025044
654	0.00023168
655	0.00022791
656	0.00023072
657	0.00023778
658	0.00022147
659	0.0002242
660	0.00022841
661	0.00022987
662	0.00020693
663	0.00020155
664	0.0002017
665	0.00021012
666	0.00022511
667	0.00021029
668	0.0001955
669	0.00019971
670	0.00020255
671	0.00019857
672	0.0001987
673	0.0001988
674	0.00019078
675	0.0001923
676	0.00019104
677	0.00019953
678	0.00019705
679	0.00016122
680	0.00020831
681	0.00017837
682	0.00018965
683	0.00019269
684	0.00019026
685	0.00016407
686	0.00017283
687	0.00018006
688	0.00017878
689	0.00016638
690	0.00018489
691	0.00015712
692	0.00016856
693	0.00016169
694	0.00013567
695	0.00017493
696	0.00017244
697	0.00018258
698	0.00016862
699	0.00015616
700	0.00013119
701	0.00014522
702	0.000087489
703	0.00014704
