% Combined data for Waterradiance	pure water absorption, salinity and temperature coefficient	related uncertainties		
% see relevant ATBD for more details!
% R. Rˆttgers, HZG
%Wavelength 	a (m-1), 20degreeC, 0 PSU	PsiS (m-1 PSU-1)	PsiT (m-1 degreeC-1)	sigma a (m-1)	sigmaPsiS  (m-1 PSU-1)	sigmaPsiT (m-1 degreeC-1)
788	2.09015	0.0000583	-0.005325	0.062705	0.000022	0.000089
790	2.054983	0.00000457	-0.005443	0.061649	0.000009	0.000102
792	2.021667	-0.000053	-0.005547	0.06065	0.000059	0.000141
794	1.9902	-0.000124038	-0.005547	0.059706	0.000026	0.000101
796	1.981467	-0.000175874	-0.005532	0.059444	0.000017	0.000148
798	1.972733	-0.00023539	-0.005428	0.059182	0.000041	0.000108
800	1.964	-0.00029491	-0.005133	0.05892	0.000037	0.000131
802	1.971	-0.00036211	-0.004868	0.05913	0.000162	0.000112
804	1.978	-0.000413961	-0.004425	0.05934	0.000156	0.000101
806	2.00255	-0.000469654	-0.003908	0.060077	0.000156	0.000155
808	2.04465	-0.000538781	-0.003392	0.06134	0.000133	0.000076
810	2.093667	-0.000588721	-0.002772	0.06281	0.000151	0.000089
812	2.1496	-0.000640582	-0.002004	0.064488	0.000146	0.000155
814	2.205533	-0.000667498	-0.001384	0.066166	0.00013	0.000201
816	2.28338	-0.000705927	-0.000646	0.068501	0.000141	0.000183
818	2.38314	-0.000730923	0.000166	0.071494	0.000148	0.000057
820	2.4829	-0.000763594	0.001096	0.074487	0.000148	0.000102
822	2.6283	-0.000823127	0.00235	0.078849	0.000138	0.000089
824	2.7737	-0.000905686	0.00418	0.083211	0.000143	0.000123
826	2.8793	-0.001049648	0.006542	0.086379	0.000142	0.000156
828	2.9849	-0.001214717	0.009435	0.089547	0.000147	0.000102
830	3.0905	-0.001339491	0.012033	0.092715	0.000136	0.000059
832	3.184733	-0.001293489	0.013775	0.095542	0.000139	0.000123
834	3.278967	-0.001093979	0.014483	0.098369	0.000129	0.000167
836	3.3732	-0.000823473	0.014291	0.101196	0.000163	0.000174
838	3.527	-0.000579831	0.01345	0.10581	0.000136	0.000148
840	3.6808	-0.00038224	0.012505	0.110424	0.000136	0.000076
842	3.80808	-0.000244133	0.011413	0.114242	0.000127	0.000184
844	3.93536	-0.000159754	0.010276	0.118061	0.000144	0.000187
846	4.082825	-0.000113752	0.009007	0.122485	0.000142	0.000163
848	4.250475	-8.11815E-05	0.0079	0.127514	0.000138	0.000057
850	4.384183	-9.85006E-05	0.006424	0.131526	0.000134	0.000141
852	4.48395	-0.000102382	0.005258	0.134519	0.000119	0.000279
854	4.583717	-0.000115858	0.004195	0.137512	0.000125	0.000195
856	4.69965	-0.000158116	0.003192	0.14099	0.000135	0.000384
